review_priority,case_id,profile_id,source,title,current_expected_label,current_expected_section,current_review_required,label_source,regression_rule,current_score,current_match_label,current_section,gates_triggered,current_reasons,fixture_rationale,human_review_question,job_id,job_external_id,job_source_hash,job_canonical_opportunity_id,job_url,job_location,applicant_location_requirements,job_location_scope,job_remote_status,job_description_or_requirements_excerpt,job_context_source,job_context_resolution_status,ambiguous_candidate_count,ambiguous_candidate_locations,ambiguous_candidate_urls,ambiguous_candidate_ids,profile_display_name,profile_education_level,profile_degrees_or_domains,profile_languages,profile_skills,profile_work_preferences,profile_constraints,profile_target_opportunity_types,profile_notes,profile_location,profile_location_status,location_eligibility,location_eligibility_reason,human_label,human_expected_section,human_review_required,human_notes,approved_by,approved_at
270,biology_or_medicine_academic_007,biology_or_medicine_academic,Turing,Academic Dermatologist,strong,best_matches,FALSE,codex_draft,,16,Possible,explore_only,,Academic/expert signal; Remote/flexible signal; Live/countable opportunity,Medical academic domain is relevant.,"Is sparse metadata causing a valid opportunity to be under-ranked, or is the current label too optimistic?",fixture:biology_or_medicine_academic_007,,,,,Remote,,unknown,remote,Academic Dermatologist | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,Biology / Medicine Academic,advanced_degree,biology | medicine | life sciences,English,scientific writing | medical review | biology,remote | flexible,,STEM expert AI training | medical AI review,"Biology, medicine, or life sciences background with advanced academic profile, interested in expert AI training tasks.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,strong,best_matches,FALSE,"Under-ranked as explore_only. The profile has advanced medicine/life-sciences background and medical review skills, so an Academic Dermatologist AI role is a strong medical-domain match. However, because dermatology/physician credentials are not explicit, this should be best_matches rather than do_these_first.",,
270,lawyer_002,lawyer,Mercor,IP Expert,strong,best_matches,FALSE,codex_draft,,6,Possible,explore_only,-10 Match is based mostly on generic AI-work terms,Expert review signal; Remote/flexible signal; Live/countable opportunity; Match is based mostly on generic AI-work terms,Intellectual property expertise is legal-domain work.,"Is sparse metadata causing a valid opportunity to be under-ranked, or is the current label too optimistic?",fixture:lawyer_002,,,,,Remote,,unknown,remote,IP Expert | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,Legal Expert / Lawyer,professional,law | legal,English,legal reasoning | contracts | expert review,remote | flexible,,legal AI training | expert review,"Law/legal background, interested in legal AI training, expert review, contracts, and legal reasoning tasks.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,strong,best_matches,FALSE,"Under-ranked as explore_only. IP Expert is directly legal-domain work and aligns with the profile’s law/legal background, legal reasoning, contracts, expert review, and legal AI training targets. Because IP specialization is not explicit in the profile, this should be best_matches rather than do_these_first.",,
255,generalist_no_degree_013,generalist_no_degree,Meridial,Pavement Condition Index (PCI) Survey & Annotation Specialist - Freelance AI Trainer Project,weak,explore_only,TRUE,codex_draft,,25,Medium,best_matches,,Generalist AI-work signal; Data annotation signal; Remote/flexible signal; Live/countable opportunity,"Annotation is relevant, but pavement condition survey expertise is specialized.","Should this draft label be approved, softened, or kept review-required?",,,,,,Remote,,unknown,remote,Pavement Condition Index (PCI) Survey & Annotation Specialist - Freelance AI Trainer Project | Remote | Unknown | Unknown | Unknown,current_db,ambiguous,8,World Wide - Remote | Poland | Hungary | Serbia | Greece | Croatia | Czechia | Slovenia,https://job-boards.eu.greenhouse.io/agency/jobs/4775898101 | https://job-boards.eu.greenhouse.io/agency/jobs/4781816101 | https://job-boards.eu.greenhouse.io/agency/jobs/4781817101 | https://job-boards.eu.greenhouse.io/agency/jobs/4781818101 | https://job-boards.eu.greenhouse.io/agency/jobs/4781822101 | https://job-boards.eu.greenhouse.io/agency/jobs/4781823101 | https://job-boards.eu.greenhouse.io/agency/jobs/4781824101 | https://job-boards.eu.greenhouse.io/agency/jobs/4781825101,job_id=132; external_id=4775898101; canonical=1032; hash=6f4272ef0e52a6537d6b5e7d2e8f287d8e60f12575fc64c456125aaa1f91b62b || job_id=133; external_id=4781816101; canonical=1032; hash=aee39f3f046427d78d8678c2612d9320e3e6d5172f4d9f1a7a2998c8c4e5a913 || job_id=134; external_id=4781817101; canonical=1032; hash=2642e6ad9709df8484bfff334df04beb89617e36ef16f1a47dff7df071a9b6ce || job_id=135; external_id=4781818101; canonical=1032; hash=90ff2eb137177d424487398fba5b32504d19a56967c627c5d9b57fd3d36d23be || job_id=136; external_id=4781822101; canonical=1032; hash=f0b0c3d9e84538c47d9033b0c80e504df428361be04d5e5aae4241ef54d3b1b1 || job_id=137; external_id=4781823101; canonical=1032; hash=757ba72051907fe71a63019f3d781fdad12a22f5be00000f0d7410d53af0deab || job_id=138; external_id=4781824101; canonical=1032; hash=e8f10d81c2a733b78583da806f0be4e6e1633c1089e39ff8d52e1ed8e38e2688 || job_id=139; external_id=4781825101; canonical=1032; hash=74faf61f09b2304036d2a41d7287a3822b5466d58247c667f7db6e4666e5f772,Generalist Remote Starter,no_degree,generalist,English,web research | writing | review,remote | flexible,no college degree,AI training | AI evaluation | data annotation | search evaluation,"No college degree, intermediate/advanced English, wants remote flexible work, good at web research and basic writing.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,weak,explore_only,FALSE,"Exact Meridial country-specific variant is ambiguous, but PCI survey/annotation appears specialized and should not be prioritized for a generalist no-degree profile.",,
255,generalist_no_degree_008,generalist_no_degree,DataAnnotation,Generalist AI Trainer,plausible,also_worth_reviewing,FALSE,codex_draft,,17,Possible,explore_only,,"Generalist AI-work signal; Remote/flexible signal; Evergreen application, useful but not counted in live estimate",Evergreen generalist application is useful but not a live task feed.,"Is sparse metadata causing a valid opportunity to be under-ranked, or is the current label too optimistic?",9201,dataannotation::generalist,6fbdc3e084260cb3a9d84ddcf1866ee210933a927f93a07a93c33058f3440764,,https://www.dataannotation.tech/generalist,Remote,,unknown,remote,Generalist AI Trainer | Remote | Generalist | Generalist,current_db,resolved,,,,,Generalist Remote Starter,no_degree,generalist,English,web research | writing | review,remote | flexible,no college degree,AI training | AI evaluation | data annotation | search evaluation,"No college degree, intermediate/advanced English, wants remote flexible work, good at web research and basic writing.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,plausible,also_worth_reviewing,FALSE,"Under-ranked as explore_only. DataAnnotation Generalist AI Trainer aligns with this no-degree generalist profile’s AI training, data annotation, web research, writing, and review targets. However, it is a broad evergreen application rather than a specific live role, so also_worth_reviewing is more appropriate than best_matches.",,
255,phd_history_researcher_005,phd_history_researcher,DataAnnotation,Generalist AI Trainer,plausible,also_worth_reviewing,FALSE,codex_draft,,8,Possible,explore_only,,"Remote/flexible signal; Evergreen application, useful but not counted in live estimate",Evergreen generalist AI training may fit academic writing/research skills.,"Is sparse metadata causing a valid opportunity to be under-ranked, or is the current label too optimistic?",9201,dataannotation::generalist,6fbdc3e084260cb3a9d84ddcf1866ee210933a927f93a07a93c33058f3440764,,https://www.dataannotation.tech/generalist,Remote,,unknown,remote,Generalist AI Trainer | Remote | Generalist | Generalist,current_db,resolved,,,,,PhD History Researcher,phd,history | humanities | academic research,English | French,archival research | academic writing | fact checking | source evaluation,remote | flexible,,expert AI training | research evaluation | humanities AI tasks | writing review,"Advanced humanities researcher interested in AI training tasks that need source analysis, writing, and expert review.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,plausible,also_worth_reviewing,FALSE,"Under-ranked as explore_only. Generalist AI training is relevant to this PhD humanities profile because it may use academic writing, fact-checking, source evaluation, reasoning, and expert review skills. However, it is a broad evergreen application rather than a domain-specific humanities/history role, so also_worth_reviewing is more appropriate than best_matches.",,
250,biology_or_medicine_academic_003,biology_or_medicine_academic,Mercor,Microbiology Specialist,strong,best_matches,FALSE,codex_draft,,9,Possible,explore_only,,Remote/flexible signal; Live/countable opportunity,Microbiology is a direct science match.,"Is sparse metadata causing a valid opportunity to be under-ranked, or is the current label too optimistic?",fixture:biology_or_medicine_academic_003,,,,,Remote,,unknown,remote,Microbiology Specialist | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,Biology / Medicine Academic,advanced_degree,biology | medicine | life sciences,English,scientific writing | medical review | biology,remote | flexible,,STEM expert AI training | medical AI review,"Biology, medicine, or life sciences background with advanced academic profile, interested in expert AI training tasks.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,strong,best_matches,FALSE,"Under-ranked as explore_only. Microbiology Specialist is a direct biology/life-sciences match for this advanced biology/medicine academic profile and aligns with STEM expert AI training and medical/scientific review targets. Specific microbiology credentials are not explicit, so best_matches is appropriate rather than do_these_first.",,
250,multilingual_translator_010,multilingual_translator,DataAnnotation,Bilingual AI Trainer,plausible,also_worth_reviewing,TRUE,codex_draft,,8,Possible,explore_only,,"Remote/flexible signal; Evergreen application, useful but not counted in live estimate",Evergreen bilingual application is relevant but not live inventory.,"Should this draft label be approved, softened, or kept review-required?",fixture:multilingual_translator_010,,,,,Remote,,unknown,remote,Bilingual AI Trainer | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,Multilingual Translator / Linguist,not_specified,language | translation | linguistics,English | Spanish | Portuguese | French,translation | localization | language review | linguistics,remote | flexible,,language review | translation evaluation | AI linguistics,"Multilingual profile with translation, language review, localization, or linguistic evaluation experience.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,plausible,also_worth_reviewing,FALSE,"Evergreen bilingual AI training opportunity is relevant to a multilingual translator profile, but it is broad and not a live task-specific posting.",,
235,beginner_bilingual_no_degree_006,beginner_bilingual_no_degree,Meridial,Social Media Annotation - Freelance AI Trainer Project,plausible,also_worth_reviewing,FALSE,codex_draft,,17,Possible,explore_only,,AI evaluation/training signal; Remote/flexible signal; Live/countable opportunity,Annotation work could fit a beginner profile.,"Is sparse metadata causing a valid opportunity to be under-ranked, or is the current label too optimistic?",242,4816094101,81edea1b30408226b71d4386bcf8c7d67f6ddb835913016eb5d61fd03a3b8634,1092,https://job-boards.eu.greenhouse.io/agency/jobs/4816094101,United States of America,United States of America,onsite_or_hybrid_restricted,unknown,Social Media Annotation - Freelance AI Trainer Project | United States of America | The Agency: Worldwide Sharing > Creative & Multi-Media | Creative & Multi-Media | Creative & Multi-Media,current_db,resolved,,,,,Beginner Bilingual Remote Worker,no_degree,generalist | language,English | Spanish,bilingual communication | web research | basic writing | review,remote | flexible | entry-level,no college degree | beginner,data annotation | search evaluation | language review | AI training generalist,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,,unknown,unknown,"Job appears geographically restricted, but profile location is unknown.",weak,explore_only,FALSE,"Social media annotation is a relevant entry-level AI-work opportunity for a beginner bilingual no-degree profile. However, the role is restricted to applicants in the United States and the profile location is unknown, so eligibility cannot be confirmed. It should remain explore_only rather than a personalized shortlist item.",,
235,english_teacher_remote_008,english_teacher_remote,DataAnnotation,Generalist AI Trainer,plausible,also_worth_reviewing,FALSE,codex_draft,,8,Possible,explore_only,,"Remote/flexible signal; Evergreen application, useful but not counted in live estimate",Evergreen generalist application can fit English teaching skills.,"Is sparse metadata causing a valid opportunity to be under-ranked, or is the current label too optimistic?",9201,dataannotation::generalist,6fbdc3e084260cb3a9d84ddcf1866ee210933a927f93a07a93c33058f3440764,,https://www.dataannotation.tech/generalist,Remote,,unknown,remote,Generalist AI Trainer | Remote | Generalist | Generalist,current_db,resolved,,,,,English Teacher Seeking Remote AI Work,bachelor,English | education | teaching,English,teaching | writing feedback | content review | grammar | student assessment,remote | flexible | part-time,prefers non-coding work,AI writing evaluation | AI training | content review | language evaluation,"Experienced English teacher looking for remote AI writing, review, and evaluator work.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,plausible,also_worth_reviewing,FALSE,"Under-ranked as explore_only. Generalist AI training can fit this English teacher profile because it may use writing feedback, grammar, content review, language evaluation, and assessment skills. However, it is a broad evergreen application rather than a specific live English/writing evaluator role, so also_worth_reviewing is appropriate rather than best_matches.",,
235,portuguese_english_reviewer_010,portuguese_english_reviewer,DataAnnotation,Bilingual AI Trainer,plausible,also_worth_reviewing,TRUE,codex_draft,,8,Possible,explore_only,,"Remote/flexible signal; Evergreen application, useful but not counted in live estimate",Evergreen bilingual application is relevant but not a live posting.,"Should this draft label be approved, softened, or kept review-required?",fixture:portuguese_english_reviewer_010,,,,,Remote,,unknown,remote,Bilingual AI Trainer | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,Portuguese-English AI Reviewer,not_specified,language | search quality | ai evaluation,Portuguese | English,review | search quality | evaluation | translation,remote | flexible,,AI evaluation | search quality | language review,"Portuguese native, advanced English, reviewer/search quality/AI evaluation background, prefers remote flexible work.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,plausible,also_worth_reviewing,FALSE,"Matcher under-ranked this as explore_only. Bilingual AI training is relevant to a Portuguese-English reviewer because it may involve language evaluation, translation judgment, and response review. However, it is a broad evergreen application rather than a specific live Portuguese-English reviewer role, so it should be also_worth_reviewing rather than best_matches.",,
